Board,Moves,Time,Mid_Target_Tiles,Max_Depth
"[[1, 0, 7, 19, 1], [14, 1, 12, 1, 1], [1, 13, 1, 1, 8], [1, 1, 1, 1, 1], [17, 1, 18, 9, 1]]",45,2.677018125,0,45
"[[8, 1, 7, 1, 1], [1, 18, 1, 1, 1], [1, 1, 0, 12, 1], [1, 13, 19, 17, 9], [14, 1, 1, 1, 1]]",49,125.088375167,0,49
"[[1, 8, 1, 17, 1], [1, 1, 1, 1, 7], [9, 1, 1, 18, 13], [0, 14, 1, 1, 12], [1, 1, 1, 1, 19]]",54,5.2999575,0,55
"[[17, 12, 1, 7, 1], [1, 9, 1, 1, 1], [0, 14, 1, 1, 1], [1, 8, 1, 1, 1], [1, 18, 19, 13, 1]]",53,850.22182,0,53
"[[9, 1, 1, 1, 13], [14, 1, 1, 1, 1], [17, 7, 18, 12, 1], [1, 1, 1, 1, 19], [0, 1, 8, 1, 1]]",46,0.596673875,0,46
"[[1, 1, 1, 9, 12], [0, 18, 1, 1, 8], [1, 17, 7, 1, 1], [1, 1, 19, 1, 1], [1, 14, 1, 1, 13]]",50,30.165750125,0,51
"[[8, 14, 1, 9, 12], [13, 0, 1, 1, 1], [1, 1, 19, 18, 17], [1, 1, 1, 1, 1], [1, 7, 1, 1, 1]]",45,93.645110292,0,45
"[[1, 14, 8, 9, 7], [17, 1, 1, 1, 12], [1, 1, 1, 13, 1], [0, 18, 1, 1, 1], [1, 1, 19, 1, 1]]",37,0.974296709,0,37
"[[18, 9, 13, 1, 7], [1, 1, 1, 0, 1], [8, 1, 1, 17, 1], [1, 1, 1, 1, 14], [12, 1, 1, 1, 19]]",44,96.107751583,0,47
"[[1, 19, 8, 1, 1], [18, 1, 7, 17, 1], [1, 1, 1, 1, 1], [1, 9, 1, 14, 12], [1, 0, 13, 1, 1]]",48,28.7217165,0,48
"[[1, 17, 13, 0, 1], [12, 1, 1, 1, 1], [19, 18, 7, 1, 1], [1, 1, 1, 9, 1], [1, 8, 1, 14, 1]]",47,59.799827542,0,51
"[[1, 1, 1, 1, 14], [12, 1, 9, 0, 19], [17, 8, 1, 7, 1], [18, 13, 1, 1, 1], [1, 1, 1, 1, 1]]",48,8.549300125,0,49
"[[1, 12, 8, 1, 1], [1, 1, 1, 1, 1], [7, 0, 1, 1, 1], [1, 13, 1, 14, 17], [1, 9, 1, 18, 19]]",44,8.845209208,0,46
"[[1, 1, 1, 1, 1], [1, 8, 1, 14, 1], [1, 1, 7, 1, 0], [1, 1, 1, 12, 17], [13, 1, 19, 18, 9]]",58,29.970209875,0,59
"[[1, 1, 1, 1, 1], [17, 1, 12, 13, 19], [9, 1, 1, 1, 1], [18, 1, 1, 0, 1], [1, 1, 7, 14, 8]]",56,41.654608458,0,56
"[[1, 14, 17, 1, 19], [1, 18, 7, 1, 1], [1, 1, 0, 8, 13], [1, 12, 1, 9, 1], [1, 1, 1, 1, 1]]",49,10.3179445,0,49
